resume: 146 m5 classes, 4 m6 classes, 4 already lifted to m7, 0 queued
2026-09-25T16:15:09Z t=22.50h | m5: 1125 classes (141164 anneal hits, 88212487936 moves) | m6: 4 classes (0 from lifts of m5 [1 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 2232 restarts, 4146734977 moves, 0 snaps, best residual 1.9793e-1 | v6: 32 members, 256 joins, 20805790927 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-25T16:45:09Z t=23.00h | m5: 1131 classes (143860 anneal hits, 89959755623 moves) | m6: 4 classes (0 from lifts of m5 [1 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 2275 restarts, 4226635508 moves, 0 snaps, best residual 1.9793e-1 | v6: 32 members, 256 joins, 21209244489 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-25T17:15:09Z t=23.50h | m5: 1141 classes (146728 anneal hits, 91829373217 moves) | m6: 4 classes (0 from lifts of m5 [1 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 2321 restarts, 4311991589 moves, 0 snaps, best residual 1.9793e-1 | v6: 32 members, 256 joins, 21637779805 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-25T17:45:09Z t=24.00h | m5: 1151 classes (149797 anneal hits, 93740650730 moves) | m6: 4 classes (0 from lifts of m5 [1 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 2368 restarts, 4399339575 moves, 0 snaps, best residual 1.9793e-1 | v6: 32 members, 256 joins, 22076545373 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-25T18:15:09Z t=24.50h | m5: 1157 classes (152913 anneal hits, 95656237090 moves) | m6: 4 classes (0 from lifts of m5 [1 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 2416 restarts, 4488573038 moves, 0 snaps, best residual 1.9793e-1 | v6: 32 members, 256 joins, 22517048349 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-25T18:45:10Z t=25.00h | m5: 1169 classes (156087 anneal hits, 97591460854 moves) | m6: 4 classes (0 from lifts of m5 [1 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 2464 restarts, 4577830464 moves, 0 snaps, best residual 1.9793e-1 | v6: 32 members, 256 joins, 22961363631 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-25T19:15:10Z t=25.50h | m5: 1178 classes (159156 anneal hits, 99520921830 moves) | m6: 4 classes (0 from lifts of m5 [1 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 2511 restarts, 4664949347 moves, 0 snaps, best residual 1.9793e-1 | v6: 32 members, 256 joins, 23402594972 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-25T19:45:10Z t=26.00h | m5: 1188 classes (162239 anneal hits, 101467200490 moves) | m6: 4 classes (0 from lifts of m5 [1 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 2560 restarts, 4756060019 moves, 0 snaps, best residual 1.9793e-1 | v6: 32 members, 256 joins, 23851993288 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-25T20:15:10Z t=26.50h | m5: 1197 classes (165012 anneal hits, 103274104149 moves) | m6: 4 classes (0 from lifts of m5 [1 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 2605 restarts, 4839559511 moves, 0 snaps, best residual 1.9793e-1 | v6: 32 members, 256 joins, 24274117552 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-25T20:45:10Z t=27.00h | m5: 1204 classes (167943 anneal hits, 105079873256 moves) | m6: 4 classes (0 from lifts of m5 [1 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 2650 restarts, 4923131559 moves, 0 snaps, best residual 1.9793e-1 | v6: 32 members, 256 joins, 24699552416 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
2026-09-25T21:15:10Z t=27.50h | m5: 1215 classes (170986 anneal hits, 107000511898 moves) | m6: 4 classes (0 from lifts of m5 [1 lifts], 0 from direct anneal [0 hits, 0 moves]) | m7 lift branch: 4/4 m6 classes lifted exactly, 0 lifts, 0 s | m7 anneal: 2697 restarts, 5010641877 moves, 0 snaps, best residual 1.9793e-1 | v6: 32 members, 256 joins, 25153107877 moves | v7: 0 members (by size [0, 0, 0]), 0 joins, 0 moves, best inf | witness: false
